from,to,weight,relationship,konfliktpotenzial,timedefinition
hm,ar,1,2,99,2
hm,ku,1,2,99,2
hm,ke,1,2,99,2
dz,af,2,2,4,2
dz,nvps,1,2,99,2
dz,edj,1,2,99,2
dz,mc,1,2,99,2
dz,ss,1,2,99,2
dz,eb,1,2,99,2
dz,rc,1,2,99,2
dz,mvdv,1,2,99,2
dz,hk,1,2,99,2
dz,jdb,1,2,99,2
dz,lb,1,2,99,2
dz,adm,1,2,99,2
dz,ls,1,2,99,2
dz,rs,1,2,99,2
dz,pp,1,2,99,2
dz,jk,1,2,99,2
dz,has,1,2,99,2
dz,wj,1,2,99,2
dz,sasa,1,2,99,2
dz,ar,1,2,99,2
dz,ku,1,2,99,2
dz,ke,1,2,99,2
nvps,af,1,2,99,2
nvps,iw,1,2,99,2
nvps,edj,1,2,99,2
nvps,mc,1,2,99,2
nvps,ss,1,2,99,2
nvps,eb,1,2,99,2
nvps,rc,1,2,99,2
nvps,mvdv,1,2,99,2
nvps,hk,1,2,99,2
nvps,jdb,1,2,99,2
nvps,lb,1,2,99,2
nvps,adm,1,2,99,2
nvps,ls,1,2,99,2
nvps,rs,1,2,99,2
nvps,pp,1,2,99,2
nvps,jk,1,2,99,2
nvps,has,1,2,99,2
nvps,wj,1,2,99,2
nvps,sasa,1,2,99,2
nvps,ar,1,2,99,2
nvps,ku,1,2,99,2
nvps,ke,1,2,99,2
edj,af,3,3,99,2
edj,mc,1,2,99,2
edj,ss,1,2,99,2
edj,eb,1,2,99,2
edj,rc,1,2,99,2
edj,mvdv,1,2,99,2
edj,hk,1,2,99,2
edj,jdb,1,2,99,2
edj,lb,1,2,99,2
edj,adm,1,2,99,2
edj,ls,1,2,99,2
edj,rs,1,2,99,2
edj,pp,1,2,99,2
edj,jk,1,2,99,2
edj,has,1,2,99,2
edj,wj,1,2,99,2
edj,sasa,1,2,99,2
edj,ar,1,2,99,2
edj,ku,1,2,99,2
edj,ke,1,2,99,2
af,mc,2,2,2,2
mc,ss,1,2,99,2
mc,eb,1,2,99,2
mc,rc,1,2,99,2
mc,hk,1,2,99,2
mc,jdb,1,2,99,2
mc,lb,1,2,99,2
mc,adm,1,2,99,2
mc,ls,1,2,99,2
mc,rs,1,2,99,2
mc,pp,1,2,99,2
mc,jk,1,2,99,2
mc,has,1,2,99,2
mc,wj,1,2,99,2
mc,sasa,1,2,99,2
mc,ar,1,2,99,2
mc,ku,1,2,99,2
mc,ke,1,2,99,2
af,of,4,1,1,3
af,ef,4,1,4,3
af,mf,3,1,2,3
af,hvp,3,2,1,3
af,avp,2,2,4,3
af,pvp,2,2,1,3
af,fp,1,2,2,3
af,vk,1,4,1,3
af,jok,1,2,1,3
af,jv,1,4,1,3
af,bv,1,4,1,3
af,mg,1,4,1,3
af,jg,1,4,1,3
af,ki,4,3,99,3
of,ef,5,1,1,3
of,mf,4,1,1,3
of,hvp,1,2,1,3
of,avp,2,2,3,3
of,pvp,1,2,1,3
of,fp,1,2,1,3
of,vk,3,4,1,3
of,jok,3,3,1,3
of,jv,3,4,1,3
of,bv,3,4,1,3
of,mg,3,4,1,3
of,jg,3,4,1,3
ef,mf,4,1,1,3
ef,hvp,1,2,1,3
ef,avp,2,2,4,3
ef,pvp,1,2,1,3
ef,fp,3,3,1,3
ef,vk,3,4,1,3
ef,jok,3,3,1,3
ef,jv,3,4,1,3
ef,bv,3,4,1,3
ef,mg,3,4,1,3
ef,jg,3,4,1,3
mf,hvp,1,2,1,3
mf,avp,1,2,1,3
mf,pvp,1,2,1,3
mf,fp,1,2,1,3
mf,vk,1,4,1,3
mf,jok,1,2,1,3
mf,jv,1,4,1,3
mf,bv,1,4,1,3
mf,mg,1,4,1,3
mf,jg,1,4,1,3
hvp,avp,5,1,2,3
hvp,pvp,4,1,1,3
